Place,Finals_Time,Event,50,100,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,950,1000,1050,1100,1150,1200,1250,1300,1350,1400,1450,1500,Distance,Minutes,Seconds,AvgSpeed,LastName,ID,c100,c150,c200,c250,c300,c350,c400,c450,c500,c550,c600,c650,c700,c750,c800,c850,c900,c950,c1000,c1050,c1100,c1150,c1200,c1250,c1300,c1350,c1400,c1450,c1500
1,14:39.7,M1500FR,27.45,29.38,29.25,29.64,29.4,29.83,29.65,29.73,29.54,29.56,29.54,29.64,29.65,29.68,29.64,29.69,29.64,29.55,29.53,29.55,29.56,29.3,29.59,29.54,29.42,29.5,29.4,29.42,28.6,25.78,1500,840,39.65,1.705223669,FINKE,"Finke, USA (Final)",1.070309654,0.995575221,1.013333333,0.991902834,1.01462585,0.993965806,1.002698145,0.993609149,1.000677048,0.99932341,1.00338524,1.000337382,1.001011804,0.998652291,1.00168691,0.998315931,0.996963563,0.999323181,1.000677277,1.000338409,0.990199392,1.009897611,0.99831024,0.995937712,1.002719239,0.996610169,1.000680272,0.972127804,0.901398601
2,14:40.7,M1500FR,28.16,29.68,29.35,29.47,29.24,29.47,29.38,29.43,29.29,29.55,29.54,29.68,29.66,29.72,29.76,29.69,29.53,29.54,29.47,29.53,29.41,29.59,29.56,29.64,29.41,29.58,29.46,29.48,28.61,26.78,1500,840,40.66,1.703268004,ROMANCHUK,"Romanchuk, UKR (Final)",1.053977273,0.988881402,1.004088586,0.992195453,1.007865937,0.996946047,1.001701838,0.995242949,1.00887675,0.999661591,1.004739336,0.999326146,1.002022927,1.001345895,0.997647849,0.99461098,1.000338639,0.997630332,1.002035969,0.995936336,1.001014885,0.998986144,1.00270636,0.992240216,1.005780347,0.995943205,1.000678887,0.970488467,0.936036351
3,14:40.9,M1500FR,27.38,29.18,29.31,29.39,29.48,29.56,29.46,29.69,29.35,29.62,29.78,29.71,29.78,29.64,29.7,29.71,29.5,29.46,29.61,29.48,29.61,29.41,29.73,29.38,29.61,29.41,29.6,29.12,28.49,27.76,1500,840,40.91,1.70278462,WELLBROCK,"Wellbrock, GER (Final)",1.065741417,1.004455106,1.002729444,1.003062266,1.002713704,0.99661705,1.007807196,0.988548333,1.009199319,1.005401756,0.997649429,1.002356109,0.995298858,1.002024291,1.0003367,0.992931673,0.998644068,1.00509165,0.995609591,1.004409769,0.989236461,1.010880653,0.98822738,1.007828455,0.993245525,1.006460388,0.983783784,0.978365385,0.974376974
4,14:45.0,M1500FR,27.09,28.83,29.16,29.67,29.66,30.04,29.66,29.77,29.72,29.74,29.85,29.87,29.6,29.81,29.61,29.7,29.4,29.77,29.37,29.81,29.35,29.78,29.39,29.9,29.38,29.93,29.04,29.68,29.27,29.16,1500,840,45.01,1.694896103,PALTRINIERI,"Paltrinieri, ITA (Final)",1.064230343,1.01144641,1.017489712,0.999662959,1.012811868,0.9873502,1.003708699,0.998320457,1.000672948,1.003698722,1.000670017,0.99096083,1.007094595,0.993290842,1.003039514,0.98989899,1.012585034,0.986563655,1.014981273,0.984568937,1.01326982,0.986903962,1.017352841,0.982608696,1.018720218,0.970263949,1.022038567,0.986185984,0.996241886
5,14:55.5,M1500FR,27.24,29.48,29.9,29.48,29.51,29.57,29.85,29.72,29.77,29.58,29.85,29.9,30.13,30.03,30.16,29.99,29.87,30.06,30.15,30.05,30.29,30.44,30.32,30.24,30.47,30.35,30.35,30.23,29.76,28.74,1500,840,55.48,1.675079287,JERVIS,"Jervis, GBR (Final)",1.082232012,1.014246947,0.985953177,1.001017639,1.002033209,1.009469056,0.995644891,1.001682369,0.993617736,1.009127789,1.001675042,1.007692308,0.996681049,1.004329004,0.994363395,0.995998666,1.006360897,1.002994012,0.99668325,1.007986689,1.003957784,0.996057819,0.997361478,1.00760582,0.9960617,1,0.996046129,0.984452531,0.965725806
6,14:55.9,M1500FR,27.61,29.36,29.89,29.44,29.94,29.95,30.28,30.03,30.13,30.2,30.13,29.99,30.15,30.13,30.25,29.92,30.23,30.07,29.9,29.9,30.06,30.09,30.06,30.08,30.36,29.98,30.22,29.96,29.72,27.82,1500,840,55.85,1.674387453,MARTYNYCHEV,"Martynychev, ROC (Final)",1.063382832,1.018051771,0.984944798,1.016983696,1.000334001,1.011018364,0.991743725,1.003330003,1.002323266,0.997682119,0.995353468,1.005335112,0.99933665,1.003982741,0.989090909,1.010360963,0.994707244,0.994346525,1,1.005351171,1.000998004,0.999002991,1.000665336,1.009308511,0.987483531,1.008005337,0.991396426,0.991989319,0.936069987
7,15:03.5,M1500FR,27.63,29.62,29.72,29.68,29.69,29.55,29.69,29.89,29.76,29.91,29.88,30.16,30.18,30.27,30.4,30.16,30.45,30.28,30.51,30.57,30.57,30.69,30.83,30.91,30.55,30.56,30.67,30.49,30.56,29.64,1500,900,3.47,1.660265421,AUBOECK,"Auboeck, AUT (Final)",1.072023163,1.003376097,0.998654105,1.000336927,0.995284608,1.004737733,1.006736275,0.995650719,1.005040323,0.998996991,1.009370817,1.00066313,1.002982107,1.004294681,0.992105263,1.009615385,0.994417077,1.007595773,1.001966568,1,0.995458969,1.004561746,1.002594875,0.988353284,1.000327332,1.003599476,0.994131073,1.002295835,0.969895288
8,15:04.3,M1500FR,27.7,29.57,29.99,29.95,30.15,30.09,30.09,29.96,30.07,29.99,30.25,29.88,29.96,29.96,30.1,30.22,30.14,30.21,30.15,30.19,30.34,30.57,30.74,30.81,31.05,30.92,31,30.81,30.15,29.25,1500,900,4.26,1.658814943,FROLOV,"Frolov, UKR (Final)",1.067509025,1.014203585,0.998666222,1.006677796,0.99800995,1,0.995679628,1.003671562,0.997339541,1.008669557,0.987768595,1.002677376,1,1.004672897,1.003986711,0.997352747,1.002322495,0.998013903,1.0013267,1.004968533,0.994469746,1.005561008,1.002277163,1.007789679,0.995813205,1.002587322,0.993870968,0.978578384,0.970149254
1,15:07.7,M1500FR,28.13,30.31,30.7,30.87,30.46,30.63,30.62,30.59,30.29,30.56,29.81,30.23,30.16,30.29,30.12,30.22,30.4,30.19,30.43,30.39,29.99,30.12,30.51,30.64,30.48,30.62,30.32,30.04,30.3,29.27,1500,900,7.69,1.652546574,WIFFEN,"Wiffen, IRL (Heat)",1.077497334,1.012867041,1.005537459,0.986718497,1.00558109,0.999673523,0.999020248,0.990192873,1.008913833,0.975458115,1.014089232,0.997684419,1.004310345,0.994387587,1.003320053,1.00595632,0.993092105,1.007949652,0.998685508,0.986837776,0.987217306,1.012948207,1.004260898,0.994778068,1.004593176,0.990202482,0.990765172,1.008655126,0.966006601
2,15:27.4,M1500FR,27.79,30.51,30.87,31.09,31.06,30.96,30.49,31.13,30.54,31.04,30.9,31.17,30.91,31.38,31.09,31.36,31.02,31.45,31.24,31.42,31.27,31.42,31.47,31.77,31.35,31.51,31.26,31.24,29.67,28.99,1500,900,27.37,1.617477382,ACOSTA,"Acosta, ESA (Heat)",1.097876934,1.01179941,1.00712666,0.99903506,0.996780425,0.984819121,1.020990489,0.981047221,1.016371971,0.995489691,1.008737864,0.991658646,1.015205435,0.990758445,1.008684464,0.989158163,1.013862025,0.993322734,1.005761844,0.995225971,0.998411185,1.001591343,1.009532888,0.986779981,1.005103668,0.992066011,0.999360205,0.949743918,0.977081227
3,15:29.9,M1500FR,27.47,30.6,30.91,30.94,31.03,31.06,30.74,30.8,30.86,30.71,30.9,31.04,31.04,31.46,31.47,31.61,31.65,31.67,31.63,31.59,31.69,31.75,31.24,31.21,31.56,31.17,31.18,30.95,30.59,29.42,1500,900,29.94,1.613007291,PRAWIRA,"Prawira, INA (Heat)",1.113942483,1.010130719,1.00097056,1.002908856,1.000966806,0.98969736,1.001951854,1.001948052,0.995139339,1.00618691,1.004530744,1,1.013530928,1.000317864,1.004448681,1.001265422,1.000631912,0.998736975,0.998735378,1.003165559,1.016325224,0.983937008,0.999039693,1.011214354,0.987642586,1.000320821,0.992623477,0.988368336,0.961752207
4,16:17.2,M1500FR,29.14,31.8,32.03,32.59,32.4,32.8,32.38,32.75,32.37,32.76,32.34,32.99,32.5,33.16,32.69,33.13,32.45,33.2,32.72,33.27,32.93,33.07,32.74,33.07,32.47,33.06,32.92,32.96,32.62,31.89,1500,960,17.2,1.534997953,DRUENNE,"Druenne, MON (Heat)",1.091283459,1.007232704,1.017483609,0.994169991,1.012345679,0.987195122,1.011426807,0.988396947,1.012048193,0.987179487,1.020098949,0.985147014,1.020307692,0.985826297,1.013459774,0.979474796,1.023112481,0.985542169,1.016809291,0.989780583,1.010079414,0.990021167,1.010079414,0.981856668,1.018170619,0.995765275,1.001215067,0.989684466,0.977621091
1,14:51.9,M1500FR,27.68,29.46,30.05,29.85,30.07,30.09,30.09,30.02,29.93,29.83,29.91,29.88,29.9,29.72,29.98,29.74,30,29.72,30.01,29.66,29.99,29.75,30.2,29.88,30.1,29.71,29.94,29.67,29.8,27.25,1500,840,51.88,1.681840606,AUBOECK,"Auboeck, AUT (Heat)",1.064306358,1.020027155,0.993344426,1.007370184,1.000665115,1,0.997673646,0.997001999,0.996658871,1.002681864,0.998996991,1.000669344,0.993979933,1.008748318,0.991994663,1.008742434,0.990666667,1.009757739,0.988337221,1.011126096,0.985099338,1.01512605,0.989403974,1.007362784,0.987043189,1.007741501,0.990981964,1.00438153,0.91442953
2,14:52.7,M1500FR,27.6,29.59,29.42,29.89,30.05,30.05,29.7,29.76,29.45,29.61,29.8,29.81,29.93,29.98,29.75,30.04,29.84,30.1,29.95,29.87,30.17,30.17,30.23,29.9,30.33,30.04,30.18,30.13,29.62,27.7,1500,840,52.66,1.680371026,MARTYNYCHEV,"Martynychev, ROC (Heat)",1.072101449,0.994254816,1.015975527,1.005352961,1,0.988352745,1.002020202,0.989583333,1.005432937,1.006416751,1.00033557,1.004025495,1.001670565,0.992328219,1.009747899,0.99334221,1.008713137,0.995016611,0.997328881,1.010043522,0.998015217,1.001988731,0.989083692,1.014381271,0.99043851,1.004660453,0.998343274,0.983073349,0.935178933
