Place,Round,Lane,Name,Team,Reaction_Time,Finals_Time,DQ,Exhibition,Event,Split_50,Split_100,Split_150,Split_200,Split_250,Split_300,Split_350,Split_400,Split_450,Split_500,Split_550,Split_600,Split_650,Split_700,Split_750,Split_800,Split_850,Split_900,Split_950,Split_1000,Split_1050,Split_1100,Split_1150,Split_1200,Split_1250,Split_1300,Split_1350,Split_1400,Split_1450,Split_1500,Relay_Swimmer_1,Relay_Swimmer_2,Relay_Swimmer_3,Relay_Swimmer_4,Relay_Swimmer_1_Gender,Relay_Swimmer_2_Gender,Relay_Swimmer_3_Gender,Relay_Swimmer_4_Gender,Gender,Style,Distance,Club,Continent,Finals_Time2,Distance2,Average_speed
1,Final,2,RYLOV Evgeny,ROC,0.55,51.98,0,0,Men's 100m Backstroke,24.96,27.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Men,Backstroke,100m,Russia,Eastern Europe,51.98,100,1.9238168526356292
2,Final,5,KOLESNIKOV Kliment,ROC,0.62,52.00,0,0,Men's 100m Backstroke,24.9,27.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Men,Backstroke,100m,Russia,Eastern Europe,52,100,1.9230769230769231
3,Final,4,MURPHY Ryan,USA,0.52,52.19,0,0,Men's 100m Backstroke,25.26,26.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Men,Backstroke,100m,United States,North America,52.19,100,1.9160758766047137
4,Final,6,CECCON Thomas,ITA,0.61,52.30,0,0,Men's 100m Backstroke,25.54,26.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Men,Backstroke,100m,Italy,Europe,52.3,100,1.9120458891013385
5,Final,7,XU Jiayu,CHN,0.52,52.51,0,0,Men's 100m Backstroke,25.4,27.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Men,Backstroke,100m,China,Asia,52.51,100,1.9043991620643688
6,Final,1,GONZALEZ Hugo,ESP,0.6,52.78,0,0,Men's 100m Backstroke,25.64,27.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Men,Backstroke,100m,Spain,Europe,52.78,100,1.8946570670708602
7,Final,3,LARKIN Mitch,AUS,0.59,52.79,0,0,Men's 100m Backstroke,25.64,27.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Men,Backstroke,100m,Australia,Oceania,52.79,100,1.8942981625307824
8,Final,8,GLINTA Robert,ROU,0.57,52.95,0,0,Men's 100m Backstroke,25.36,27.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Men,Backstroke,100m,Romania,Eastern Europe,52.95,100,1.8885741265344664
1,Heat,4,ATAYEV Merdan,TKM,0.64,55.24,0,0,Men's 100m Backstroke,26.48,28.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Men,Backstroke,100m,Turkmenistan,Asia,55.24,100,1.8102824040550325
2,Heat,5,CASTILLO Gabriel,BOL,0.56,58.24,0,0,Men's 100m Backstroke,27.94,30.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Men,Backstroke,100m,Bolivia,South America,58.24,100,1.717032967032967
3,Heat,3,RASOLONJATOVO Heriniavo,MAD,0.59,59.81,0,0,Men's 100m Backstroke,28.69,31.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Men,Backstroke,100m,Madagascar,Africa,59.81,100,1.6719612104999164
1,Heat,6,STOKOWSKI Kacper,POL,0.57,53.99,0,0,Men's 100m Backstroke,26.29,27.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Men,Backstroke,100m,Poland,Eastern Europe,53.99,100,1.8521948508983144
2,Heat,2,SANTOS Francisco Rogerio,POR,0.6,54.35,0,0,Men's 100m Backstroke,26.32,28.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Men,Backstroke,100m,Portugal,Europe,54.35,100,1.8399264029438822
3,Heat,5,CEJKA Jan,CZE,0.55,54.69,0,0,Men's 100m Backstroke,26.31,28.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Men,Backstroke,100m,Czech Republic,Europe,54.69,100,1.8284878405558604
4,Heat,3,CARTER Dylan,TTO,0.65,54.82,0,0,Men's 100m Backstroke,26.24,28.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Men,Backstroke,100m,Trinidad &Tobago,South America,54.82,100,1.8241517694272162
5,Heat,4,LAITAROVSKY Michael,ISR,0.51,55.34,0,0,Men's 100m Backstroke,25.95,29.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Men,Backstroke,100m,Israel,Middle East,55.34,100,1.8070112034694614
6,Heat,7,LEVTEROV Kaloyan,BUL,0.52,55.60,0,0,Men's 100m Backstroke,26.99,28.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Men,Backstroke,100m,Bulgaria,Eastern Europe,55.6,100,1.7985611510791366
1,Heat,5,ULRICH Marek,GER,0.63,53.74,0,0,Men's 100m Backstroke,25.86,27.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Men,Backstroke,100m,Germany,Europe,53.74,100,1.8608113137327875
2,Heat,8,BASSETO Guilherme,BRA,0.54,53.84,0,0,Men's 100m Backstroke,25.5,28.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Men,Backstroke,100m,Brazil,South America,53.84,100,1.8573551263001484
